"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"19.06.2023","5.194,0","5.262,0","5.297,5","5.177,0","773,46K","-1,26%"
"16.06.2023","5.260,5","5.309,5","5.330,0","5.243,5","571,05K","-0,79%"
"15.06.2023","5.302,5","5.251,5","5.319,5","5.226,0","1,06M","1,08%"
"14.06.2023","5.246,0","5.299,0","5.324,0","5.205,5","925,72K","-0,34%"
"13.06.2023","5.264,0","5.092,0","5.265,5","5.077,0","1,38M","3,68%"
"09.06.2023","5.077,0","5.082,0","5.112,5","5.070,0","522,44K","0,24%"
"08.06.2023","5.065,0","5.101,0","5.111,0","5.041,0","741,01K","-0,71%"
"07.06.2023","5.101,0","5.164,5","5.164,5","5.073,0","933,29K","-0,94%"
"06.06.2023","5.149,5","5.145,0","5.175,5","4.962,5","2,20M","-0,33%"
"05.06.2023","5.166,5","5.401,0","5.420,0","5.155,5","2,09M","-4,02%"
"02.06.2023","5.383,0","5.303,0","5.454,0","5.302,0","3,23M","-5,30%"
"01.06.2023","5.684,0","5.570,0","5.685,0","5.540,0","1,77M","2,07%"
"31.05.2023","5.569,0","5.590,5","5.594,0","5.505,0","1,14M","0,71%"
"30.05.2023","5.530,0","5.515,0","5.698,5","5.461,5","2,58M","-0,15%"
"29.05.2023","5.538,5","5.341,0","5.547,5","5.332,0","2,22M","4,57%"
"26.05.2023","5.296,5","5.207,5","5.298,5","5.203,0","979,24K","1,79%"
"25.05.2023","5.203,5","5.198,0","5.209,0","5.160,5","858,84K","0,22%"
"24.05.2023","5.192,0","5.185,0","5.215,0","5.142,0","953,70K","0,37%"
"23.05.2023","5.173,0","5.094,0","5.174,0","5.065,0","930,01K","1,63%"
"22.05.2023","5.090,0","5.112,0","5.116,0","5.057,0","469,49K","0,23%"
"19.05.2023","5.078,5","5.070,0","5.078,5","5.013,0","669,41K","0,07%"
"18.05.2023","5.075,0","5.110,0","5.120,0","5.070,0","665,35K","-0,43%"
"17.05.2023","5.097,0","5.094,5","5.120,0","5.060,5","692,80K","0,22%"
"16.05.2023","5.086,0","5.068,0","5.120,0","5.020,5","1,49M","0,80%"
"15.05.2023","5.045,5","4.840,0","5.055,0","4.838,0","1,88M","4,70%"
"12.05.2023","4.819,0","4.800,0","4.842,5","4.751,0","973,51K","0,64%"
"11.05.2023","4.788,5","4.728,5","4.849,5","4.681,0","2,37M","1,54%"
"10.05.2023","4.716,0","4.560,0","4.716,0","4.559,0","1,01M","3,32%"
"08.05.2023","4.564,5","4.524,5","4.599,5","4.517,5","363,54K","1,23%"
"05.05.2023","4.509,0","4.547,5","4.557,5","4.501,5","433,75K","-0,85%"
"04.05.2023","4.547,5","4.529,5","4.564,5","4.512,5","491,93K","0,87%"
"03.05.2023","4.508,5","4.581,0","4.638,0","4.491,0","1,11M","-1,58%"
"02.05.2023","4.581,0","4.680,0","4.705,0","4.552,0","856,74K","-2,00%"
"28.04.2023","4.674,5","4.710,0","4.710,0","4.641,5","541,27K","-0,54%"
"27.04.2023","4.700,0","4.659,0","4.710,5","4.655,0","510,78K","0,88%"
"26.04.2023","4.659,0","4.695,0","4.706,0","4.627,5","646,92K","-0,64%"
"25.04.2023","4.689,0","4.714,0","4.720,0","4.678,0","391,57K","-0,46%"
"24.04.2023","4.710,5","4.728,5","4.750,0","4.692,5","531,21K","-0,40%"
"21.04.2023","4.729,5","4.759,5","4.776,5","4.711,0","855,35K","-0,35%"
"20.04.2023","4.746,0","4.539,5","4.794,5","4.462,0","3,66M","4,55%"
"19.04.2023","4.539,5","4.600,0","4.609,5","4.528,0","1,23M","-1,30%"
"18.04.2023","4.599,5","4.649,5","4.658,0","4.583,5","886,11K","-0,87%"
