"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"19.12.2023","6.706,0","6.735,0","6.771,0","6.690,0","669,51K","-0,26%"
"18.12.2023","6.723,5","6.580,0","6.761,5","6.526,0","1,26M","2,49%"
"15.12.2023","6.560,0","6.397,0","6.632,0","6.381,0","2,43M","-4,37%"
"14.12.2023","6.860,0","7.040,0","7.084,5","6.850,5","1,22M","-2,61%"
"13.12.2023","7.043,5","7.000,0","7.062,5","6.914,0","572,31K","0,41%"
"12.12.2023","7.014,5","7.000,0","7.100,0","6.813,0","1,40M","0,54%"
"11.12.2023","6.977,0","7.183,0","7.189,0","6.929,0","1,03M","-2,28%"
"08.12.2023","7.140,0","7.119,0","7.173,0","7.092,0","425,36K","0,68%"
"07.12.2023","7.092,0","7.145,0","7.173,0","7.071,0","477,11K","-0,64%"
"06.12.2023","7.138,0","7.269,0","7.275,0","7.051,5","649,13K","-1,52%"
"05.12.2023","7.248,5","7.136,0","7.250,0","7.136,0","557,09K","1,63%"
"04.12.2023","7.132,5","7.170,0","7.199,5","7.110,5","669,87K","-0,60%"
"01.12.2023","7.175,5","7.239,0","7.272,5","7.162,5","491,06K","-0,88%"
"30.11.2023","7.239,0","7.205,5","7.285,5","7.170,0","609,31K","0,51%"
"29.11.2023","7.202,0","7.229,0","7.238,0","7.186,0","303,51K","-0,50%"
"28.11.2023","7.238,0","7.223,0","7.245,5","7.161,0","402,14K","0,21%"
"27.11.2023","7.222,5","7.301,0","7.345,0","7.212,0","608,77K","-0,99%"
"24.11.2023","7.295,0","7.262,0","7.320,0","7.255,0","418,78K","0,51%"
"23.11.2023","7.258,0","7.301,0","7.330,0","7.251,5","391,94K","-0,56%"
"22.11.2023","7.299,0","7.211,0","7.299,0","7.207,0","677,60K","1,25%"
"21.11.2023","7.209,0","7.180,5","7.216,0","7.137,5","482,15K","0,20%"
"20.11.2023","7.194,5","7.225,5","7.226,0","7.161,0","424,45K","-0,43%"
"17.11.2023","7.225,5","7.135,5","7.234,0","7.080,5","764,21K","1,26%"
"16.11.2023","7.135,5","7.221,5","7.236,0","7.120,5","556,00K","-1,23%"
"15.11.2023","7.224,0","7.184,0","7.257,0","7.138,0","609,13K","0,33%"
"14.11.2023","7.200,0","7.285,0","7.285,0","7.165,0","611,77K","-1,06%"
"13.11.2023","7.277,5","7.296,0","7.325,0","7.270,0","443,49K","-0,15%"
"10.11.2023","7.288,5","7.270,0","7.304,5","7.238,5","496,78K","0,39%"
"09.11.2023","7.260,0","7.291,0","7.307,0","7.221,0","587,98K","-0,48%"
"08.11.2023","7.295,0","7.341,0","7.373,0","7.277,0","579,53K","-0,52%"
"07.11.2023","7.333,5","7.370,0","7.380,0","7.295,5","594,82K","-0,58%"
"06.11.2023","7.376,0","7.243,0","7.387,5","7.221,0","642,15K","1,91%"
"03.11.2023","7.238,0","7.268,0","7.278,0","7.210,5","364,96K","-0,21%"
"02.11.2023","7.253,5","7.257,5","7.292,0","7.217,0","477,29K","0,19%"
"01.11.2023","7.240,0","7.152,0","7.266,0","7.130,5","612,59K","1,25%"
"31.10.2023","7.150,5","7.231,0","7.264,0","7.107,0","1,02M","-1,35%"
"30.10.2023","7.248,0","7.299,5","7.315,0","7.228,0","769,66K","-0,96%"
"27.10.2023","7.318,0","7.227,0","7.338,0","7.136,5","1,81M","1,24%"
"26.10.2023","7.228,5","7.455,0","7.498,0","7.211,0","2,89M","-2,81%"
"25.10.2023","7.437,5","7.430,0","7.444,0","7.207,0","1,32M","-0,09%"
"24.10.2023","7.444,0","7.478,0","7.487,5","7.417,0","818,52K","-0,25%"
"23.10.2023","7.462,5","7.510,5","7.549,0","7.452,5","858,64K","-0,39%"
"20.10.2023","7.491,5","7.499,5","7.509,5","7.405,0","982,82K","0,07%"
"19.10.2023","7.486,0","7.480,0","7.495,0","7.416,5","984,45K","-0,03%"
"18.10.2023","7.488,0","7.399,0","7.535,0","7.365,0","2,59M","1,40%"
"17.10.2023","7.384,5","7.347,5","7.394,0","7.264,0","1,63M","0,67%"
"16.10.2023","7.335,0","7.275,0","7.349,0","7.234,5","1,47M","1,26%"
"13.10.2023","7.244,0","7.143,0","7.250,0","7.136,0","1,68M","1,74%"
"12.10.2023","7.120,0","6.862,5","7.154,0","6.848,0","2,72M","3,33%"
"11.10.2023","6.890,5","6.864,5","7.099,5","6.835,5","3,47M","0,54%"
"10.10.2023","6.853,5","6.874,0","6.880,0","6.822,5","552,20K","-0,15%"
"09.10.2023","6.863,5","6.880,0","6.895,5","6.822,0","1,11M","0,98%"
"06.10.2023","6.797,0","6.749,5","6.797,0","6.717,0","786,72K","1,12%"
"05.10.2023","6.721,5","6.706,0","6.759,5","6.645,0","741,32K","0,92%"
"04.10.2023","6.660,5","6.740,0","6.815,0","6.659,5","905,83K","-1,39%"
"03.10.2023","6.754,5","6.720,0","6.784,0","6.636,5","954,48K","0,51%"
"02.10.2023","6.720,0","6.716,5","6.797,5","6.658,5","1,11M","0,64%"
"29.09.2023","6.677,0","6.650,0","6.700,0","6.603,5","958,78K","0,47%"
"28.09.2023","6.645,5","6.502,0","6.645,5","6.501,5","987,31K","2,40%"
"27.09.2023","6.490,0","6.412,0","6.500,0","6.404,5","730,31K","1,63%"
"26.09.2023","6.386,0","6.430,0","6.438,0","6.322,0","940,34K","-0,98%"
"25.09.2023","6.449,0","6.500,0","6.525,0","6.426,0","691,00K","-0,71%"
"22.09.2023","6.495,0","6.397,0","6.517,0","6.305,0","1,11M","1,82%"
"21.09.2023","6.379,0","6.400,0","6.428,0","6.350,0","1,46M","-0,69%"
"20.09.2023","6.423,0","6.350,0","6.499,0","6.280,0","1,87M","1,25%"
"19.09.2023","6.344,0","6.525,5","6.560,0","6.326,5","1,53M","-2,79%"
"18.09.2023","6.526,0","6.600,0","6.655,0","6.476,0","918,19K","-0,41%"
"15.09.2023","6.553,0","6.520,0","6.609,0","6.501,0","1,22M","0,52%"
"14.09.2023","6.519,0","6.603,0","6.633,0","6.346,0","2,07M","-1,38%"
"13.09.2023","6.610,0","6.738,0","6.739,0","6.576,0","1,12M","-1,77%"
"12.09.2023","6.729,0","6.500,0","6.730,0","6.480,0","1,54M","4,23%"
"11.09.2023","6.456,0","6.625,0","6.625,0","6.435,0","1,30M","-2,55%"
"08.09.2023","6.625,0","6.660,0","6.724,0","6.533,0","1,33M","-0,62%"
"07.09.2023","6.666,5","6.855,5","6.880,0","6.571,5","2,28M","-2,93%"
"06.09.2023","6.867,5","6.915,0","6.916,0","6.832,5","770,87K","-0,70%"
"05.09.2023","6.916,0","6.860,0","6.940,0","6.847,0","1,20M","0,96%"
"04.09.2023","6.850,0","6.844,0","6.870,0","6.825,0","659,05K","0,45%"
"01.09.2023","6.819,0","6.839,0","6.848,0","6.784,0","709,30K","-0,16%"
"31.08.2023","6.830,0","6.858,5","6.875,0","6.788,0","822,17K","-0,10%"
"30.08.2023","6.837,0","6.789,0","6.900,0","6.760,0","2,16M","0,85%"
"29.08.2023","6.779,5","6.673,5","6.780,0","6.636,0","1,94M","1,76%"
"28.08.2023","6.662,0","6.570,5","6.665,0","6.560,0","913,84K","1,46%"
"25.08.2023","6.566,0","6.562,5","6.592,5","6.513,5","764,29K","0,07%"
"24.08.2023","6.561,5","6.497,5","6.571,5","6.432,0","1,24M","2,32%"
"23.08.2023","6.412,5","6.632,0","6.654,0","6.364,0","2,95M","-2,94%"
"22.08.2023","6.606,5","6.265,5","6.677,0","6.216,5","5,30M","5,44%"
"21.08.2023","6.265,5","6.295,0","6.338,0","6.237,0","1,19M","-0,19%"
"18.08.2023","6.277,5","6.167,0","6.285,0","6.122,5","918,71K","1,87%"
"17.08.2023","6.162,0","6.160,0","6.167,0","6.062,0","900,51K","1,11%"
"16.08.2023","6.094,5","6.156,5","6.198,0","5.990,5","1,99M","-0,60%"
"15.08.2023","6.131,5","6.089,5","6.290,0","6.008,0","2,28M","0,07%"
"14.08.2023","6.127,5","6.322,0","6.428,0","6.011,5","3,04M","-2,50%"
"11.08.2023","6.284,5","6.265,0","6.287,0","6.205,0","788,92K","0,52%"
"10.08.2023","6.252,0","6.185,0","6.258,0","6.155,0","1,02M","1,30%"
"09.08.2023","6.171,5","6.130,0","6.185,0","6.073,0","941,05K","0,77%"
"08.08.2023","6.124,5","6.040,0","6.135,0","5.925,0","1,55M","1,26%"
"07.08.2023","6.048,5","6.177,0","6.210,0","5.975,0","1,41M","-0,89%"
"04.08.2023","6.103,0","6.170,0","6.270,0","5.951,5","2,84M","-0,84%"
"03.08.2023","6.155,0","6.066,0","6.168,0","6.040,0","999,74K","1,41%"
"02.08.2023","6.069,5","6.008,0","6.123,0","5.960,0","1,32M","1,02%"
"01.08.2023","6.008,0","5.940,5","6.049,0","5.883,0","1,34M","1,18%"
"31.07.2023","5.938,0","5.952,5","5.999,5","5.905,5","1,56M","0,71%"
"28.07.2023","5.896,0","5.679,0","5.917,0","5.654,5","1,87M","4,02%"
"27.07.2023","5.668,0","5.638,0","5.678,0","5.637,5","633,92K","0,75%"
"26.07.2023","5.626,0","5.636,0","5.665,5","5.591,0","763,97K","-0,13%"
"25.07.2023","5.633,5","5.555,5","5.649,5","5.532,5","1,22M","1,59%"
"24.07.2023","5.545,5","5.508,0","5.554,0","5.491,0","626,21K","0,74%"
"21.07.2023","5.505,0","5.410,0","5.505,0","5.397,5","643,48K","2,06%"
"20.07.2023","5.394,0","5.518,0","5.520,0","5.381,0","864,11K","-2,25%"
"19.07.2023","5.518,0","5.541,0","5.568,0","5.495,0","610,88K","-0,35%"
"18.07.2023","5.537,5","5.514,5","5.585,0","5.481,0","1,15M","0,63%"
"17.07.2023","5.503,0","5.490,0","5.535,0","5.462,5","767,65K","-0,20%"
"14.07.2023","5.514,0","5.488,0","5.550,0","5.450,0","792,18K","0,29%"
"13.07.2023","5.498,0","5.531,0","5.549,5","5.461,0","721,19K","-0,04%"
"12.07.2023","5.500,0","5.442,0","5.535,0","5.377,5","1,23M","1,12%"
"11.07.2023","5.439,0","5.440,5","5.449,5","5.366,5","691,23K","0,06%"
"10.07.2023","5.436,0","5.475,5","5.505,5","5.404,0","1,10M","-0,06%"
"07.07.2023","5.439,5","5.362,0","5.446,5","5.326,0","1,30M","1,73%"
"06.07.2023","5.347,0","5.320,0","5.390,0","5.304,0","1,41M","0,92%"
"05.07.2023","5.298,5","5.225,0","5.311,0","5.221,5","1,21M","1,72%"
"04.07.2023","5.209,0","5.110,0","5.260,0","5.082,0","1,47M","2,23%"
"03.07.2023","5.095,5","5.099,0","5.123,0","5.080,0","638,46K","0,32%"
"30.06.2023","5.079,0","5.127,0","5.139,0","5.063,0","711,61K","-0,88%"
"29.06.2023","5.124,0","5.116,5","5.150,0","5.096,0","742,24K","0,31%"
"28.06.2023","5.108,0","5.150,0","5.155,0","5.082,0","702,89K","-0,58%"
"27.06.2023","5.138,0","5.077,0","5.158,5","5.031,0","924,41K","1,77%"
