iter	Passed	Remaining
0	3	3807
1	6	3288
2	9	3090
3	12	3003
4	14	2960
5	17	2913
6	20	2922
7	23	2906
8	26	2894
9	29	2872
10	32	2894
11	35	2943
12	38	2931
13	41	2918
14	44	2928
15	47	2939
16	51	2998
17	55	3002
18	58	3001
19	61	2997
20	64	2998
21	67	2996
22	70	2989
23	73	2980
24	76	2979
25	79	2968
26	82	2977
27	85	2976
28	88	2968
29	91	2965
30	94	2956
31	98	2973
32	101	2964
33	104	2955
34	106	2940
35	109	2928
36	112	2916
37	114	2908
38	117	2894
39	120	2881
40	122	2866
41	125	2858
42	128	2849
43	130	2840
44	133	2831
45	136	2822
46	138	2814
47	141	2805
48	144	2809
49	147	2800
50	149	2790
51	152	2782
52	155	2774
53	156	2739
54	159	2732
55	161	2728
56	164	2721
57	167	2713
58	169	2706
59	172	2701
60	175	2699
61	179	2717
62	182	2713
63	185	2709
64	188	2704
65	191	2703
66	194	2703
67	196	2697
68	199	2691
69	202	2685
70	203	2658
71	206	2657
72	208	2654
73	211	2649
74	214	2644
75	216	2637
76	219	2633
77	223	2636
78	225	2632
79	228	2628
80	231	2622
81	233	2619
82	237	2625
83	241	2629
84	244	2633
85	247	2630
86	250	2626
87	253	2626
88	254	2608
89	257	2606
90	260	2603
91	263	2599
92	266	2594
93	269	2601
94	273	2604
95	277	2611
96	280	2608
97	282	2596
98	287	2614
99	289	2604
100	292	2600
101	295	2597
102	297	2593
103	302	2607
104	305	2604
105	310	2614
106	312	2611
107	316	2611
108	320	2617
109	323	2615
110	326	2616
111	328	2603
112	332	2609
113	336	2611
114	339	2610
115	342	2612
116	345	2607
117	351	2624
118	353	2620
119	357	2625
120	360	2620
121	366	2635
122	369	2632
123	373	2637
124	376	2637
125	379	2631
126	383	2633
127	386	2634
128	389	2631
129	393	2631
130	398	2642
131	401	2640
132	405	2643
133	408	2640
134	413	2647
135	416	2644
136	418	2634
137	421	2629
138	424	2630
139	430	2641
140	435	2654
141	440	2661
142	445	2668
143	449	2671
144	452	2668
145	457	2677
146	461	2676
147	466	2686
148	468	2678
149	476	2698
150	480	2700
151	486	2711
152	510	2828
153	514	2827
154	517	2823
155	523	2832
156	526	2827
157	530	2829
158	534	2827
159	539	2831
160	542	2827
161	545	2824
162	549	2819
163	554	2829
164	558	2823
165	561	2822
166	564	2817
167	570	2826
168	573	2822
169	578	2824
170	582	2823
171	586	2825
172	591	2826
173	594	2823
174	600	2829
175	603	2826
176	609	2835
177	613	2833
178	618	2835
179	621	2829
180	625	2829
181	629	2830
182	634	2834
183	638	2832
184	641	2827
185	647	2833
186	651	2831
187	655	2830
188	658	2824
189	663	2830
190	667	2826
191	671	2824
192	674	2819
193	679	2822
194	682	2817
195	685	2811
196	688	2806
197	691	2801
198	695	2800
199	698	2794
200	702	2791
201	704	2783
202	708	2781
203	711	2777
204	714	2770
205	717	2764
206	719	2756
207	722	2752
208	727	2754
209	730	2747
210	732	2740
211	735	2734
212	738	2728
213	741	2724
214	744	2717
215	746	2710
216	749	2703
217	752	2697
218	756	2696
219	759	2691
220	760	2680
221	763	2676
222	766	2669
223	769	2664
224	773	2662
225	775	2657
226	778	2650
227	781	2644
228	783	2639
229	788	2638
230	791	2634
231	793	2628
232	796	2622
233	799	2616
234	803	2615
235	806	2610
236	809	2604
237	812	2599
238	814	2594
239	819	2594
240	823	2593
241	828	2596
242	831	2589
243	834	2587
244	837	2581
245	840	2575
246	842	2569
247	845	2563
248	848	2558
249	851	2553
250	853	2547
251	856	2543
252	859	2537
253	862	2531
254	865	2529
255	868	2523
256	871	2518
257	873	2512
258	876	2506
259	878	2501
260	881	2497
261	883	2487
262	885	2481
263	888	2476
264	889	2466
265	892	2461
266	894	2456
267	897	2451
268	900	2447
269	903	2442
270	906	2438
271	909	2434
272	912	2431
273	915	2426
274	918	2421
275	921	2415
276	923	2410
277	926	2406
278	929	2401
279	931	2396
280	934	2391
281	937	2386
282	939	2381
283	942	2376
284	945	2373
285	948	2368
286	951	2362
287	953	2357
288	956	2352
289	959	2349
290	962	2345
291	965	2340
292	967	2335
293	970	2330
294	972	2325
295	975	2321
296	978	2316
297	981	2311
298	983	2306
299	986	2301
300	989	2297
301	992	2292
302	994	2287
303	997	2283
304	999	2278
305	1002	2273
306	1003	2265
307	1004	2257
308	1007	2253
309	1010	2248
310	1012	2243
311	1015	2239
312	1018	2234
313	1020	2230
314	1022	2222
315	1024	2218
316	1027	2213
317	1030	2209
318	1032	2204
319	1035	2199
320	1038	2196
321	1041	2191
322	1043	2187
323	1046	2183
324	1048	2178
325	1051	2174
326	1054	2170
327	1057	2166
328	1059	2161
329	1061	2154
330	1063	2149
331	1066	2145
332	1069	2141
333	1071	2137
334	1074	2133
335	1077	2129
336	1078	2122
337	1081	2118
338	1084	2115
339	1087	2110
340	1090	2106
341	1092	2102
342	1095	2098
343	1098	2094
344	1099	2087
345	1102	2083
346	1105	2079
347	1107	2075
348	1110	2071
349	1113	2067
350	1116	2063
351	1118	2059
352	1121	2055
353	1123	2050
354	1125	2044
355	1127	2039
356	1130	2035
357	1133	2032
358	1136	2028
359	1139	2025
360	1142	2021
361	1145	2018
362	1148	2015
363	1151	2011
364	1154	2007
365	1157	2004
366	1159	2000
367	1163	1997
368	1165	1993
369	1168	1989
370	1171	1985
371	1174	1981
372	1176	1978
373	1179	1974
374	1182	1970
375	1183	1964
376	1185	1958
377	1187	1954
378	1190	1950
379	1194	1948
380	1197	1945
381	1200	1942
382	1203	1938
383	1205	1934
384	1209	1932
385	1212	1928
386	1215	1925
387	1218	1921
388	1221	1917
389	1224	1914
390	1226	1910
391	1229	1907
392	1232	1902
393	1234	1899
394	1237	1895
395	1240	1892
396	1243	1888
397	1244	1882
398	1247	1878
399	1250	1876
400	1254	1873
401	1258	1871
402	1261	1868
403	1264	1865
404	1267	1862
405	1271	1860
406	1274	1857
407	1277	1853
408	1280	1850
409	1284	1847
410	1288	1846
411	1291	1843
412	1294	1840
413	1297	1836
414	1300	1833
415	1304	1830
416	1306	1827
417	1310	1824
418	1313	1821
419	1316	1818
420	1320	1815
421	1323	1812
422	1326	1809
423	1328	1805
424	1331	1801
425	1334	1798
426	1338	1795
427	1340	1791
428	1343	1788
429	1346	1784
430	1349	1782
431	1352	1778
432	1355	1774
433	1358	1771
434	1361	1767
435	1363	1764
436	1367	1761
437	1371	1759
438	1374	1756
439	1377	1753
440	1380	1750
441	1383	1747
442	1386	1743
443	1388	1738
444	1391	1735
445	1394	1731
446	1397	1729
447	1400	1726
448	1403	1722
449	1406	1718
450	1408	1714
451	1412	1712
452	1415	1708
453	1417	1705
454	1420	1701
455	1422	1697
456	1425	1693
457	1426	1688
458	1429	1684
459	1432	1681
460	1434	1677
461	1437	1673
462	1438	1668
463	1441	1664
464	1444	1661
465	1448	1659
466	1450	1655
467	1453	1652
468	1456	1648
469	1459	1645
470	1461	1641
471	1464	1638
472	1467	1634
473	1469	1630
474	1472	1627
475	1475	1624
476	1478	1620
477	1480	1617
478	1483	1613
479	1486	1610
480	1489	1606
481	1492	1603
482	1494	1599
483	1495	1594
484	1498	1591
485	1501	1587
486	1503	1584
487	1507	1581
488	1510	1578
489	1513	1575
490	1515	1571
491	1518	1568
492	1521	1565
493	1524	1561
494	1527	1558
495	1530	1554
496	1532	1551
497	1535	1547
498	1538	1544
499	1540	1540
500	1543	1537
501	1545	1533
502	1548	1530
503	1551	1527
504	1554	1523
505	1557	1520
506	1560	1517
507	1563	1513
508	1566	1510
509	1567	1506
510	1570	1503
511	1572	1498
512	1575	1495
513	1578	1492
514	1581	1489
515	1584	1486
516	1587	1482
517	1589	1479
518	1592	1475
519	1594	1472
520	1597	1468
521	1600	1465
522	1603	1462
523	1606	1459
524	1608	1455
525	1611	1452
526	1613	1448
527	1616	1445
528	1619	1442
529	1622	1438
530	1625	1435
531	1627	1431
532	1630	1428
533	1633	1425
534	1635	1421
535	1638	1418
536	1641	1415
537	1643	1411
538	1646	1408
539	1649	1405
540	1651	1401
541	1654	1398
542	1657	1394
543	1659	1391
544	1663	1388
545	1665	1385
546	1668	1381
547	1670	1378
548	1673	1375
549	1676	1371
550	1679	1368
551	1680	1364
552	1683	1360
553	1685	1357
554	1688	1353
555	1690	1350
556	1694	1347
557	1697	1344
558	1699	1340
559	1702	1337
560	1704	1334
561	1707	1330
562	1710	1327
563	1713	1324
564	1716	1321
565	1718	1317
566	1721	1314
567	1724	1311
568	1727	1308
569	1730	1305
570	1733	1302
571	1736	1299
572	1739	1296
573	1742	1293
574	1745	1289
575	1747	1286
576	1750	1283
577	1752	1279
578	1755	1276
579	1756	1271
580	1758	1268
581	1761	1265
582	1763	1261
583	1766	1258
584	1769	1255
585	1772	1252
586	1775	1248
587	1777	1245
588	1780	1242
589	1783	1239
590	1786	1236
591	1789	1233
592	1791	1229
593	1794	1226
594	1797	1223
595	1799	1220
596	1803	1217
597	1806	1214
598	1809	1211
599	1812	1208
600	1814	1204
601	1817	1201
602	1820	1198
603	1823	1195
604	1825	1192
605	1828	1188
606	1831	1185
607	1834	1182
608	1837	1179
609	1838	1175
610	1841	1172
611	1843	1168
612	1846	1165
613	1849	1162
614	1852	1159
615	1855	1156
616	1857	1153
617	1860	1149
618	1862	1146
619	1865	1143
620	1868	1140
621	1871	1137
622	1873	1133
623	1876	1130
624	1879	1127
625	1882	1124
626	1885	1121
627	1888	1118
628	1890	1115
629	1893	1112
630	1896	1108
631	1899	1105
632	1901	1102
633	1904	1099
634	1907	1096
635	1909	1092
636	1912	1089
637	1915	1086
638	1917	1083
639	1919	1079
640	1922	1076
641	1925	1073
642	1927	1070
643	1930	1067
644	1933	1064
645	1936	1061
646	1939	1058
647	1942	1055
648	1945	1052
649	1948	1049
650	1950	1045
651	1953	1042
652	1955	1039
653	1958	1036
654	1961	1033
655	1964	1030
656	1967	1026
657	1969	1023
658	1972	1020
659	1975	1017
660	1978	1014
661	1980	1011
662	1983	1008
663	1986	1005
664	1988	1001
665	1991	998
666	1994	995
667	1997	992
668	1999	989
669	2002	986
670	2005	983
671	2008	980
672	2011	977
673	2013	973
674	2016	970
675	2018	967
676	2021	964
677	2024	961
678	2026	958
679	2029	955
680	2032	951
681	2034	948
682	2037	945
683	2040	942
684	2043	939
685	2045	936
686	2048	933
687	2051	930
688	2054	927
689	2056	924
690	2059	920
691	2061	917
692	2064	914
693	2067	911
694	2070	908
695	2073	905
696	2075	902
697	2078	899
698	2081	896
699	2083	893
700	2086	890
701	2089	886
702	2092	883
703	2094	880
704	2097	877
705	2101	875
706	2104	872
707	2107	869
708	2110	866
709	2112	862
710	2115	859
711	2118	856
712	2120	853
713	2123	850
714	2126	847
715	2128	844
716	2131	841
717	2134	838
718	2137	835
719	2139	832
720	2142	828
721	2144	825
722	2147	822
723	2150	819
724	2153	816
725	2156	813
726	2159	810
727	2161	807
728	2164	804
729	2167	801
730	2170	798
731	2173	795
732	2175	792
733	2178	789
734	2181	786
735	2183	783
736	2186	780
737	2190	777
738	2192	774
739	2196	771
740	2199	768
741	2202	765
742	2204	762
743	2207	759
744	2210	756
745	2211	753
746	2214	749
747	2216	746
748	2219	743
749	2222	740
750	2224	737
751	2228	734
752	2230	731
753	2233	728
754	2235	725
755	2238	722
756	2241	719
757	2244	716
758	2247	713
759	2249	710
760	2252	707
761	2254	704
762	2257	701
763	2260	698
764	2262	695
765	2265	692
766	2268	689
767	2271	686
768	2274	683
769	2274	679
770	2277	676
771	2280	673
772	2281	669
773	2283	666
774	2286	663
775	2288	660
776	2291	657
777	2294	654
778	2297	651
779	2299	648
780	2303	645
781	2306	643
782	2309	640
783	2312	637
784	2315	634
785	2318	631
786	2320	628
787	2323	625
788	2326	622
789	2328	619
790	2331	616
791	2334	613
792	2337	610
793	2340	607
794	2343	604
795	2345	601
796	2346	597
797	2349	594
798	2352	591
799	2355	588
800	2358	585
801	2360	582
802	2363	579
803	2366	576
804	2369	573
805	2372	570
806	2374	567
807	2377	565
808	2379	561
809	2382	558
810	2385	555
811	2388	552
812	2390	549
813	2393	546
814	2396	543
815	2399	540
816	2401	537
817	2404	534
818	2407	532
819	2409	529
820	2413	526
821	2416	523
822	2417	519
823	2419	516
824	2422	513
825	2425	510
826	2428	507
827	2430	504
828	2433	502
829	2436	499
830	2439	496
831	2441	493
832	2444	490
833	2447	487
834	2449	484
835	2452	481
836	2455	478
837	2457	475
838	2460	472
839	2463	469
840	2466	466
841	2468	463
842	2471	460
843	2474	457
844	2477	454
845	2480	451
846	2482	448
847	2485	445
